Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Micro SD 16GB","For storage",1,11.51,"https://robu.in/product/sandisk-ultra-micro-sd-16gb-uhs-i-98mbs-r-class-10-memory-card/","Robu.in"
"40 Pin 2.54mm Male and Female Pin Headers","For connecting modules to the PCB. (btw this one has both male and female headers for almost the same price and umm... its good as i do not have to order both male and female headers separately and its also affordable with free delhivery.)",1,1.78,"https://www.amazon.in/Super-Debug-Headers-Arduino-Prototype/dp/B09MZD3RBF/ref=sr_1_13_sspa?crid=N7OX8SOKLHM9&dib=eyJ2IjoiMSJ9.rhRGWOlYhIM9ZMfcpEIGoo5BJa0aWjxoKSxn6j4YxsU7RZtLKA3H5x2eZmb3WMH6LIo5rVWia3Spgxqk2405Q4ZX_E3AIuf_mVYY3Ug_C53zKEgDjlsi7KtU2NHMEfFu7CCTPjYRT634tXjAGPKniJZ5mQM3p3c2_B_BkP8BzdlHjfuuEFvn2fh2u9cUQ0gJP2iVI4Q0RKGmHt2UdvNDVgVl65EpFBiv4lAHpiSNX0OVtqKB20Q4YyV__9MGjp4rywjPYFEya2Cp51m9DqidDgLso2fE4Yv3Lz2OF-WGCOc.eRt-Bvzwx_LyU8OMLh2tJ56E0_r7qrymmIWMVuAebhM&dib_tag=se&keywords=2.54%E2%80%AFmm+40%E2%80%91Pin+Male+Header+Strip&qid=1779455787&s=industrial&sprefix=2.54+mm+40+pin+male+header+strip%2Cindustrial%2C612&sr=1-13-spons&aref=uQRe64e9Tf&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1","Amazon"
"Micro SD Card Reader Module","mainly for storage and adding songs",1,0.34,"https://robu.in/product/micro-sd-card-module/","Robu.in"
"3mm Red LED","to show that something is wrong in the PCB (robu.in has min order value of 10inr hence the qty is 7)",7,0.11,"https://robu.in/product/3mm-red-dip-led-pack-of-50/","Robu.in"
"3mm Green LED","to show that everything works (robu.in has min order value of 10inr hence the qty is 7)",7,0.12,"https://robu.in/product/5mm-green-surface-mount-led-pack-of-50/","Robu.in"
"Tactile Push Button Switch 6x6","For the switches (btw robu.in has min order value of 10inr so instead of buying 10 individual buttons i got the pack of 10 at almost the same price)",1,0.14,"http://robu.in/product/6x6x5-tactile-push-button-switch/","Robu.in"
"10uF 25V Electrolytic Capacitor","For decoupling",1,0.83,"https://www.amazon.in/10uF-25V-Electrolytic-Capacitor-Pack/dp/B08X2NSPZN/ref=sr_1_1?crid=PDT8C4TRM1HF&dib=eyJ2IjoiMSJ9.xt0PkbERLAZAClCatq5J6Tzv_aGK2HiW9Oc-3DFm_L_c1l8yUd2zsxahtvR1Rczg4zBW87O8jOXDUnoCNMc6a-CyNs6zaCIDfzz-1HNSi5wuBFWe_z_vtcqXdd7XdBMHllNEpQ5nAo0ngR2mkX6EA4wcgFS19ZeE5fQzGpoI80_OfM2Kl0vVVUliDE61ckqdLUBL_m4JsnnNIHzt3Sz5P8saoNydj2cVK17V_n2Xue4vd6qMLbEylciHJ20APZoELJPyaRnbP9zhjfHkPmmo8OjeEZeMHugc_PMIDYImth8.crJE0yEuBnSh2BWJu0Q6-kkwHC0RLS1WcrgEwXQBXyc&dib_tag=se&keywords=10uF+25V&qid=1779447688&s=industrial&sprefix=10uf+25v%2Cindustrial%2C276&sr=1-1","Amazon"
"0.1µF Ceramic Capacitor THT","For the decoupling capacitors(robu.in has min order value of 10inr so hence i had to put qty as 10)",10,0.14,"https://robu.in/product/100nf-50v-disc-capacitor/","Robu.in"
"150Ω Resistor THT","To resist at 150ohms",5,0.20,"https://robu.in/product/mf25-150r-multicomp-pro-through-hole-resistor-150-ohm-mf25-series-250-mw-%C2%B1-1-axial-leaded-250-v/","Robu.in"
"10kΩ Resistor THT","to ""resist"" the flow of current",5,0.14,"https://robu.in/product/mfr-25frf52-10k-yageo-metal-film-resistors-10k%CF%89-250mw-%C2%B1100ppm-%E2%84%83-%C2%B11-plugind2-4xl6-3mm-through-hole-resistors-rohs/","Robu.in"
"18650 single cell holder","To hold the battery ",1,0.31,"https://robu.in/product/1-x-18650-cell-box/","Robu.in"
"3.7V 2600mAh Li-Ion Battery","to provide power. (1 battery is backup)",2,2.70,"https://robu.in/product/dmegc-inr18650-26e-3-7v-2600mah-li-ion-battery/","Robu.in"
"AMS1117 3.3V SOT223","to regulate the voltage. btw robu.in has a minimum order value of 10inr hence i have to order 2 of these.",2,0.19,"https://robu.in/product/ams1117-3-3v-1a-sot-223-voltage-regulator-ic-pack-of-5-ics/","Robu.in"
"TP4056 micro USB charger module","To charge",1,0.17,"https://robu.in/product/tp4056-1a-li-ion-battery-charging-board-micro-usb-with-current-protection-type-c-connector/","Robu.in"
"INMP441 Mic Module","for microphone audio",1,4.46,"https://www.flyrobo.in/inmp441-mems-high-precision-omnidirectional-microphone-module-i2s-interface-supports-esp32?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE8YE2o6yOLva40MkauAXkkKX&gclid=Cj0KCQjw_b_QBhCSARIsAP6hR4fxcb79Y7LAf30Mtf0EURmGQC5Ig6PxE3MlRVGJuA_9HoPKO3JYkOUaAv91EALw_wcB","FlyRobo"
"MAX98357 I2S 3W CLASS D Audio Amplifier Module","For audio to convert digital signals to analog while amplifying it.",1,3.47,"https://www.flyrobo.in/max98357-i2s-3w-class-d-audio-amplifier-module?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE8YE2o6yOLva40MkauAXkkKX&gclid=Cj0KCQjw_b_QBhCSARIsAP6hR4diyoO6Cu7r2HuTtzw1xm5mK6yp2f6xf9yTvyNTRoKEOO5dYT8ErBAaAoRdEALw_wcB","FlyRobo"
"CP2102(6-pin) USB 2.0 to TTL UART serial converter","To program the esp32 wroom32 chip",1,1.20,"http://robu.in/product/cp-2102-6-pin/","robu.in"
"2.4inch LCD Display Module","To see",1,10.95,"https://robu.in/product/waveshare-240x320-general-2-4inch-lcd-display-module-65k-rgb/","Robu.in"
"ESP32-WROOM-32U Wi-Fi BLE Module","This is basically the brains of this project it shall run every component.",1,3.29,"https://evelta.com/esp32-wroom-32u-wi-fi-ble-module-4mb-ipex-antenna-connector/?sku=136-ESP32-WROOM-32U-N4&utm_source=google&utm_campaign=23139913810&utm_medium=cpc&utm_content=&utm_term=&gad_source=1&gad_campaignid=23135852825&gbraid=0AAAAADwtsXnCIWrjdHORe8CMD4vtwNx8K&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefEIz8NxrmAhjCBPotO4q1kfhvAPe7PiZO-OFSLVeGly8_42vnOilWQaAojfEALw_wcB","Evelta"